area,classification,project status,project name,description
civil engineering and industry,water and power,ports and docks,assaluyeh offshore marine terminal,capacity of constructed dams 14/927 billion cubic meters; 221 km water transfer tunnel; water transmission lines 3007 km; 645 km of irrigation canals and networks
civil engineering and industry,water and power,ports and docks,"deylam port dredging, bushehr kosar port, charak port, phases 13, 14, and 20-21) south pars",capacity of constructed dams 14/927 billion cubic meters; 221 km water transfer tunnel; water transmission lines 3007 km; 645 km of irrigation canals and networks
civil engineering and industry,mines and mining industries,mining exploration and extraction,chromite oxidation zones,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining exploration and extraction,exploration of coal exploration,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining exploration and extraction,copper exploratory drilling,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining exploration and extraction,extraction and transport of bauxite rock,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining exploration and extraction,extraction of lead and zinc,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining exploration and extraction,extraction and management of phosphorous phosphate mine,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining exploration and extraction,iron ore mining,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining exploration and extraction,mining of copper mines,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining exploration and extraction,exploratory drilling,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining industry,phase two concentrated copper plant,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining industry,copper refinery development plan,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining industry,sponge iron factory,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining industry,sponge iron factory and transport of steel materials,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining industry,copper fusion factory,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,mines and mining industries,mining industry,construction of phosphoric acid and triple fertilizer plant,"conducting strategic studies to find the potential of mineral reserves, conducting exploration activities in the areas of chromite, conducting drilling and exploration brain extraction operations of more than 400,000 meters in a variety of important mines; carrying out extraction projects in iron ore mines; construction of two sponge iron factories with a combined capacity of 1,600,000 tons per year; construction of two copper concentrate plants with a combined capacity of 250,000 tons per year, construction of a copper refining plant with a capacity of 100,000 tons per year, increasing the capacity of the phosphorus phosphate plant and construction of two sulfuric acid plants and triple fertilizer"
civil engineering and industry,healthcare,healthcare,-,"collaborate with the ministry of health to build 19,000 hospitals"
civil engineering and industry,communication and information technology,infrastructure communication,design and implementation of more than 23 thousand kilometers of fiber optic communication infrastructure network,-
civil engineering and industry,communication and information technology,infrastructure communication,"design, supply, installation and commissioning, testing and delivery of 220 high-capacity data transmission stations",-
civil engineering and industry,communication and information technology,infrastructure communication,"design, supply and run the largest signal transmission network using high-capacity microwave rails at 320 stations",-
civil engineering and industry,communication and information technology,communications in the industrial sector,telecommunications of the seventh national gas transmission line and oil pipeline,-
civil engineering and industry,communication and information technology,communications in the industrial sector,"telecommunications and signalization of mashhad metro line 2 and 3, tehran metro line 7, tabriz metro line 2, qom metro line one",-
civil engineering and industry,communication and information technology,communications in the industrial sector,"telecommunications and signalization of gorgan railway - incheh barun, chabahar - zahedan, yazd - eghlid, kermanshah, akhvaz - andimeshk, high-speed electric train tehran - isfahan",-
civil engineering and industry,communication and information technology,communications in the industrial sector,"the telecom system of the 15th, 16th, 13th, 22nd, 23rd and 24th phases of the south pars gas field and the persian gulf star condensate refinery, ngl3200, damavand petrochemical complex and ethylene petrochemical complex",-
civil engineering and industry,communication and information technology,information technology,"ahvaz traffic control center, kermanshah",-
civil engineering and industry,communication and information technology,information technology,500 wireless networks of organs and organizations,-
civil engineering and industry,communication and information technology,control and automation,national gas dispatching of iran,-
civil engineering and industry,communication and information technology,control and automation,seventh national gas transmission line and oil and gas pipeline,-
civil engineering and industry,communication and information technology,control and automation,kucheri dam water pipeline to qom,-
civil engineering and industry,communication and information technology,control and automation,"accurate control system of phases 15, 16, 13, 22, 23 and 24 of south pars gas field development and persian gulf star condensate refinery, ngl3200, damavand petrochemical complex and ethylene central petrochemical complex",-
civil engineering and industry,communication and information technology,in progress,tehran water piping system,-
civil engineering and industry,communication and information technology,in progress,fiber optic communication infrastructure network (noor 3),-
civil engineering and industry,communication and information technology,in progress,telecommunications and the sixth gas transmission line,-
civil engineering and industry,special structures,special structures,nature bridge,-
civil engineering and industry,special structures,special structures,class bridge and sadr tunnel,-
civil engineering and industry,special structures,special structures,persian gulf lake crown buildings,-
agriculture,agriculture,agriculture,"pumping station: 25 chapters
well drilling: 602 rings
well equipment: 448 rings
water transmission line (main and secondary lines): 219300 meters
weight irrigation network: 12973 hectares
pressure grid: 22761 hectares
  power grid: 342 km
1- identified lands: 216828 hectares
2- land studies: 197000 hectares
3- land leveling: 59649 hectares
4- cooperative formation: 102 items
5- green area: 35734 hectares
7- access road: 650 km ",-
